; qstr_Gate_is_breached!|Gate is breached!
; qstr_Gate_opens..._You_ha|Gate opens... You have reached the most sacred place in Middle Earth!
; qstr_Secret_place_discove|Secret place discovered!
; qstr_Next_Page|Next Page
; qstr_Action|Action
qstr_Mount|امتطاء 
; qstr_Attack_Type|Attack Type
; qstr_Hold_This_Position|Hold This Position
; qstr_Follow_Me|Follow Me
; qstr_Charge|Charge
; qstr_Advance|Advance
; qstr_Fall_Back|Fall Back
; qstr_Stand_Closer|Stand Closer
; qstr_Spread_Out|Spread Out
; qstr_Stand_Ground|Stand Ground
; qstr_Dismount|Dismount
; qstr_Use_Any_Weapon|Use Any Weapon
; qstr_Use_Blunt_Weapons|Use Blunt Weapons
; qstr_Hold_Your_Fire|Hold Your Fire
; qstr_Fire_At_Will|Fire At Will
; qstr_Us|Us
; qstr_Allies|Allies
; qstr_Enemies|Enemies
; qstr_Ready|Ready
; qstr_Wounded|Wounded
; qstr_Dead|Dead
; qstr_Routed|Routed
; qstr_Number_of_men_knocke|Number of men knocked down: {reg1}
; qstr_Number_of_men_left:_|Number of men left: {reg1}
; qstr_Opponents_Beaten:_{r|Opponents Beaten: {reg1}
; qstr_Opponents_Remaining:|Opponents Remaining: {reg1}
; qstr_Gauntlet_wave:_1|Gauntlet wave: 1
; qstr_Gauntlet_wave:_{reg1|Gauntlet wave: {reg1}
; qstr_Remain_in_retirement|Remain in retirement.
; qstr_Go_back_to_the_adven|Go back to the adventuring.
; qstr_You_have_retired_at_|You have retired at level {reg4} after {reg5} days of adventuring.
; qstr_Effect_on_Score|Effect on Score
; qstr_Settlements_owned_by|Settlements owned by you: {reg0}
; qstr_{reg0?+:}{reg0}|{reg0?+:}{reg0}
; qstr_Friendly_Settlements|Friendly Settlements: {reg0}
; qstr_Hostile_Settlements:|Hostile Settlements: {reg0}
; qstr_{reg0}|{reg0}
; qstr_Friendly_Lords:_{reg|Friendly Lords: {reg0}
; qstr_Enemy_Lords:_{reg0}|Enemy Lords: {reg0}
; qstr_Victories:_{reg0}|Victories: {reg0}
; qstr_Defeats:_{reg0}|Defeats: {reg0}
; qstr_Quests_Completed:_{r|Quests Completed: {reg0}
; qstr_Companions_Found:_{r|Companions Found: {reg0}
; qstr_Companions_Lost/Depa|Companions Lost/Departed: {reg0}
