qstr_Received_{reg0}_dama|Recebeu {reg0} dano.
qstr_Gate_is_breached!|O portão foi quebrado!
qstr_Gate_opens..._You_ha|O portão se abre... Você alcançou o lugar mais sagrado da Terra Média!
qstr_Secret_place_discove|Local secreto descoberto!
qstr_Next_Page|Próxima Pagina
qstr_Action|Ação
qstr_Mount|Montar
qstr_Attack_Type|Tipo de Ataque
qstr_Hold_This_Position|Mantenham esta posição!
qstr_Follow_Me|Sigam-me!
qstr_Charge|Atacar!!!
qstr_Advance|Avançem!
qstr_Fall_Back|Recuem!
qstr_Stand_Closer|Aproximem-se!
qstr_Spread_Out|Espalhem-se!
qstr_Stand_Ground|Mantenham suas posições!
qstr_Dismount|Desmontar
qstr_Use_Any_Weapon|Usem Qualquer Arma
qstr_Use_Blunt_Weapons|Usem Armas de Impacto
qstr_Hold_Your_Fire|Cessar tiro!
qstr_Fire_At_Will|Atirem a vontade!
qstr_Us|Nós
qstr_Allies|Aliados
qstr_Enemies|Inimigos
qstr_Ready|Pronto
qstr_Wounded|Machucado
qstr_Dead|Morto
qstr_Routed|Afugentados
qstr_Number_of_men_knocke|Homens Inconscientes: {reg1}
qstr_Number_of_men_left:_|Homens Restantes: {reg1}
qstr_Opponents_Beaten:_{r|Oponentes Vencidos: {reg1}
qstr_Opponents_Remaining:|Oponentes Restantes: {reg1}
qstr_Gauntlet_wave:_1|Onda Exposta: 1
qstr_Gauntlet_wave:_{reg1|Onda Exposta: {reg1}
qstr_Remain_in_retirement|Continuar Aposentado.
qstr_Go_back_to_the_adven|Voltar a Aventurar-se.
qstr_A_peaceful_village_n|Uma vila pacífica não distante do Folde Oeste
qstr_The_War_is_upon_Roha|A guerra está sobre Rohan!
qstr_Minas_Tirith___The_W|Minas Tirith - A Cidade Branca
qstr_The_White_Tree_stand|A Árvore Branca continua morta desde que a linhagem dos Reis falhou
; qstr_And_the_Shadow_grows|And the Shadow grows ever stronger in the East
qstr_Minas_Morgul___City_|Minas Morgul - Cidade dos Nazgûl
qstr_Sauron_s_armies_marc|Os exércitos de Sauron marcham para Guerra!
qstr_Adventurers_at_audie|Aventureiros em audiência com o Regente Denethor...
qstr___What_business_do_y| 'O que os traz aqui, suplicantes?'
qstr___Your_Stewardship_w| 'Senhor Regente, nós viemos de terras distantes para... pular!'
qstr___Enough_of_this_mad| 'Chega dessa loucura! Guardas!!'
qstr___I_ve_had_enough_of| 'Ja tive o suficiente dessas pegadinhas... O próximo grupo terá que se ajoelhar!'
qstr_Chest|Baú
qstr_Cape|Capa
qstr_Arms|Braços
qstr_Thighs|Coxas
qstr_Legs|Pernas
qstr_Rotate|Rotacionar
qstr_Close|Fechar
qstr_Faction_Side:^^Campa|Lado da Facção:^^Dificuldade da Campanha*:^^Teatro Natal:^^Marechal:^^Inimigos:^^
qstr_Campaign_Difficulty_|Dificuldade de Campanha é baseada na força inicial da facção, inimigos no Teatro,^ e árvore de tropas e de equipamento da facção.
qstr_Rallies:|Reagrupamentos:
qstr_View_Keybinds__Press|Ver Teclas de Atalho (Pressione Insert)
qstr_What_do_you_fight_fo|Pelo o quê você luta?
qstr_Go_Back...|Volte...
qstr_Learn_about_the_diff|Aprenda sobre as diferentes facções da Terra-Média
qstr_The_DAWN_of_a_New_Er|O Amanhecer de uma Nova Era
qstr_The_TWILIGHT_of_Man|O Crepúsculo do Homem
qstr_Select_your_Race?|Selecione sua raça?
qstr_Man|Homem  
qstr_Elf|Elfo 
qstr_Dwarf|Anão 
qstr_Whom_Do_You_Serve?|A quem você serve?
qstr_SAURON_of_Mordor_The|Sauron de Mordor, O Senhor dos Anéis
qstr_SARUMAN_of_Isengard_|Saruman de Isengard, O Mão-Branca
qstr_an_ORC^_serving_the_|um Orc,^ servindo o Olho Sem Cílios
qstr_an_URUK^_the_new_bre|um Uruk,^ a nova raça de Orcs
qstr_a_MAN^_subjugated_by|um Homem,^ subjugado por Sauron
