p_town_minas_tirith|Minas Tirith
p_town_pelargir|Pelargir
p_town_linhir|Linhir
p_town_dol_amroth|Dol Amroth
p_town_edhellond|Edhellond
p_town_lossarnach|Lossarnach
p_town_tarnost|Tarnost
p_town_erech|Erech
p_town_pinnath_gelin|Pinnath Gelin
p_town_west_osgiliath|Batı Osgiliath
p_town_henneth_annun|Henneth Annun
p_town_cair_andros|Cair Andros
p_town_calembel|Calembel
p_town_edoras|Edoras
p_town_aldburg|Aldburg
p_town_hornburg|Hornburg
p_town_east_emnet|Doğu Emnet
p_town_westfold|Batıağıl
p_town_west_emnet|Batı Emnet
p_town_eastfold|Doğufold
p_town_morannon|Morannon
p_town_minas_morgul|Minas Morgul
p_town_cirith_ungol|Ork Karakolu
p_town_east_osgiliath|Doğu Osgiliath
p_town_orc_sentry_camp|Ork Gözcü Kampı
p_town_isengard|Isengard
p_town_urukhai_outpost|Uruk Hai İleri Karakolu
p_town_urukhai_h_camp|Uruk Hai Avcılık kampı
p_town_urukhai_r_camp|Uruk Hai Nehri kampı
p_town_caras_galadhon|Caras Galadhon
p_town_cerin_dolen|Cerin Dolen
p_town_cerin_amroth|Cerin Amroth
p_town_thranduils_halls|Thranduil'in Salonları
p_town_woodelf_camp|Orman Elfi Kampı
p_town_woodelf_west_camp|Orman Elfi Batı Kampı
p_town_woodsmen_village|Ormancı köyü
p_town_beorning_village|Beorning Köyü
p_town_beorn_house|Beorn'nın Evi
p_town_moria|Moria Madeni
p_town_troll_cave|Troll mağarası
p_town_dale|Dale
p_town_esgaroth|Esgaroth
p_town_dunland_camp|Dunlander Kampı
p_town_harad_camp|Haradrim Kampı
p_town_khand_camp|Khand Kampı
p_town_umbar_camp|Corsair Kampı
p_town_imladris_camp|Rivendell Kampı
p_town_dol_guldur|Dol Guldur
p_town_dol_guldur_north_outpost|Dol Guldur Kuzey karakolu
p_town_rhun_main_camp|Ana Rhun Kampı
; p_town_rhun_south_camp|Rhun Southern Outpost
; p_town_rhun_north_camp|Rhun Northern Outpost
p_town_gundabad|Gundabad
; p_town_gundabad_ne_outpost|Gundabad NE Outpost
; p_town_gundabad_nw_outpost|Gundabad NW Outpost
; p_town_goblin_north_outpost|Goblin Northern Outpost
; p_town_goblin_south_outpost|Goblin Southern Outpost
; p_town_gundabad_m_outpost|Gundabad Mirkwood Outpost
p_town_erebor|Erebor
; p_town_ironhill_camp|Iron Hills Quarry
; p_advcamp_gondor|Gondor Advance Camp
; p_advcamp_rohan|Rohan Advance Camp
; p_advcamp_isengard|Isengard Advance Camp
; p_advcamp_mordor|Mordor Advance Camp
; p_advcamp_harad|Harad Advance Camp
; p_advcamp_rhun|Rhun Advance Camp
; p_advcamp_khand|Khand Advance Camp
; p_advcamp_umbar|Umbar Advance Camp
; p_advcamp_lorien|Lorien Advance Camp
; p_advcamp_imladris|Imladris Advance Camp
; p_advcamp_woodelf|Mirkwood Advance Camp
; p_advcamp_moria|Moria Advance Camp
; p_advcamp_guldur|Dol Guldur Advance Camp
; p_advcamp_gundabad|Gundabad Advance Camp
; p_advcamp_dale|Dale Advance Camp
; p_advcamp_dwarf|Erebor Advance Camp
; p_advcamp_dunland|Dunland Advance Camp
; p_advcamp_beorn|Beorning Advance Camp
; p_argonath|Argonath
; p_argonath2|Argonath
; p_hand_isen|Handsign of Isengard
; p_mount_doom|Mount Doom
; p_town_barad_dur|Barad Dur
; p_ford_cair_andros1|Anduin
; p_ford_cair_andros2|Anduin
; p_ford_caras_galadhon|Anduin
; p_ford_brown_lands|Anduin
; p_ford_rauros|Anduin
; p_ford_pelargir|Anduin
; p_ford_edhellond|Anduin
; p_ford_cerin_dolen|Silverlode
; p_old_ford| Old Ford 
; p_ford_erech|Ringlo
; p_ford_isen1|Isen
; p_ford_isen2|Isen
; p_ford_rohan|Entwash
; p_ford_rohan2|Entwash
; p_ford_fangorn|Entwash
; p_ford_fangorn2|Limlight
; p_ford_moria|Silverlode
; p_legend_amonhen|Amon Hen
; p_legend_deadmarshes|Dead Marshes
; p_legend_mirkwood|Mirkwood Forest
; p_legend_fangorn|Fangorn Entmoot
; p_ancient_ruins|Ancient Ruins
